MRT_Line,Bus_ServiceNo,Bus_Route_Length_m,Overlap_Length_m,Coverage_Percentage,Consecutive_Coverage_Percentage,Max_Consecutive_Segments,Weighted_Average_Angle,Weighted_Average_Score
Cross Island,159A,7364.373394842941,4011.7588500355755,6.0606060606060606,12.5,1.0,40.7,15.564242424242424
Downtown,982E,21086.95751444358,5384.48295814162,5.0,9.090909090909092,2.0,49.6,15.556363636363638
East-West,196,27767.69216818455,10216.683544289326,6.779661016949152,7.142857142857142,2.0,49.9,15.549007263922519
Downtown,151,23394.96939155611,6188.138691084045,7.5,8.333333333333332,2.0,46.0,15.533333333333335
Circle,70M,39038.92180178464,21335.8663467071,7.317073170731707,5.0,2.0,52.8,15.486829268292684
North-East,671,18347.019630616982,5345.1224864922715,9.523809523809524,5.263157894736842,1.0,47.8,15.474786967418547
North-East,147A,14592.587929243919,9219.478298177828,9.523809523809524,6.666666666666667,1.0,44.7,15.416190476190478
North-South,854e,18134.684536381184,2800.970353023835,2.380952380952381,10.526315789473683,2.0,51.1,15.382907268170428
East-West,20,14421.828653484634,12590.562093316981,6.779661016949152,13.333333333333334,2.0,36.6,15.365197740112995
Cross Island,127,7513.595681113425,2997.283911276422,3.0303030303030303,12.5,1.0,45.6,15.332121212121212
Downtown,15A,10215.316210625731,5004.158993015941,7.5,9.090909090909092,1.0,43.4,15.316363636363636
North-South,951E,21270.13711591175,6013.43239524602,7.142857142857142,4.545454545454546,1.0,53.2,15.315324675324677
Circle,54,15103.101947046323,6338.760814679391,4.878048780487805,12.5,2.0,41.8,15.311219512195121
Thomson East Coast,901M,7672.523436647951,4145.918756791179,5.263157894736842,12.5,1.0,41.0,15.305263157894737
East-West,63,33442.62166688704,22452.05997747161,11.864406779661017,5.88235294117647,2.0,40.8,15.258703888334995
Jurong Region,333,6560.938008297992,4576.421058061925,4.0,14.285714285714285,1.0,39.7,15.254285714285716
Cross Island,81,29464.17208608463,15553.509972637861,9.090909090909092,6.666666666666667,2.0,44.7,15.243030303030306
East-West,20A,5717.554154723453,4397.221165706174,3.389830508474576,16.666666666666664,1.0,35.8,15.182598870056497
North-South,853,17041.799805977185,6363.366634993395,4.761904761904762,5.555555555555555,1.0,55.2,15.16698412698413
Circle,176,20540.37313231796,4538.555969974258,2.4390243902439024,9.523809523809524,2.0,51.9,15.165133565621371
Cross Island,70B,5855.4755323492245,1519.291140873467,3.0303030303030303,16.666666666666664,1.0,36.3,15.138787878787877
Downtown,960e,21158.975887709505,5858.7927171540705,5.0,9.090909090909092,2.0,47.3,15.096363636363636
Cross Island,268,14622.293344061398,5900.185172913467,3.0303030303030303,13.333333333333334,2.0,42.7,15.085454545454546
North-South,965,37464.51555421553,15694.41610193289,11.904761904761903,7.894736842105263,3.0,35.8,15.079799498746867
East-West,33,23512.72108686674,12608.68877309772,8.47457627118644,4.166666666666666,1.0,50.1,15.076497175141244
East-West,32,20959.679864596594,11409.78295052862,5.084745762711865,9.523809523809524,2.0,46.1,15.063422114608557
East-West,34B,23688.422398548133,10739.803810632302,6.779661016949152,12.5,3.0,36.6,15.031864406779661
Downtown,77,16357.382833612395,5003.894462311281,10.0,5.88235294117647,1.0,43.3,15.012941176470589
Circle,655,15588.450965471546,3483.2088841843597,7.317073170731707,6.25,1.0,47.7,14.966829268292685
East-West,9,29917.02978404278,15955.540685831587,13.559322033898304,6.666666666666667,2.0,34.2,14.93039548022599
Jurong Region,194,6081.198809456304,4541.941223616686,1.3333333333333335,14.285714285714285,1.0,43.4,14.927619047619046
