ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
114A,8,50.0,"[2, 3, 6]",0.0,[],50.0,"[2, 3, 6]",0.0,[],50.0,"[2, 3, 6]",0.0,[]
115,8,38.46,"[2, 7, 9, 11, 12]",0.0,[],38.46,"[2, 7, 9, 11, 12]",0.0,[],38.46,"[2, 7, 9, 11, 12]",0.0,[]
116,8,5.41,"[9, 34]",0.0,[],5.41,"[9, 34]",0.0,[],5.41,"[9, 34]",0.0,[]
116A,8,81.82,"[2, 3, 4, 5, 6, 7, 9, 10, 11]",0.0,[],81.82,"[2, 3, 4, 5, 6, 7, 9, 10, 11]",0.0,[],81.82,"[2, 3, 4, 5, 6, 7, 9, 10, 11]",0.0,[]
117,8,19.05,"[2, 6, 28, 29, 31, 32, 33, 36]",9.52,"[4, 11, 17, 18]",19.05,"[2, 6, 28, 29, 31, 32, 33, 36]",9.52,"[4, 11, 17, 18]",19.05,"[2, 6, 28, 29, 31, 32, 33, 36]",9.52,"[4, 11, 17, 18]"
117A,8,20.0,"[5, 10]",0.0,[],20.0,"[5, 10]",0.0,[],20.0,"[5, 10]",0.0,[]
117M,8,44.19,"[2, 3, 4, 5, 6, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 39, 40, 41, 42]",48.84,"[2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 24, 39, 40, 41, 42, 43]",44.19,"[2, 3, 4, 5, 6, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 39, 40, 41, 42]",46.51,"[2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 24, 39, 40, 41, 42, 43]",44.19,"[2, 3, 4, 5, 6, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 39, 40, 41, 42]",46.51,"[2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 24, 39, 40, 41, 42, 43]"
118,8,15.38,"[3, 7, 19, 25]",15.38,"[4, 9, 10, 22]",15.38,"[3, 7, 19, 25]",11.54,"[9, 10, 22]",19.23,"[3, 7, 19, 21, 25]",15.38,"[4, 9, 10, 22]"
118A,8,90.48,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21]",0.0,[],90.48,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21]",0.0,[],90.48,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21]",0.0,[]
118B,8,93.75,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.0,[],93.75,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.0,[],93.75,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.0,[]
