ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
195A,8,83.93,"[4, 5, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",0.0,[],83.93,"[4, 5, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",0.0,[],83.93,"[4, 5, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",0.0,[]
196,8,20.59,"[2, 9, 11, 14, 18, 20, 25, 29, 34, 35, 39, 45, 53, 56]",13.24,"[14, 15, 17, 18, 40, 43, 46, 52, 55]",19.12,"[2, 9, 11, 14, 18, 25, 29, 34, 35, 39, 45, 53, 56]",13.24,"[14, 15, 17, 18, 40, 43, 46, 52, 55]",20.59,"[2, 9, 11, 14, 18, 20, 25, 29, 34, 35, 39, 45, 53, 56]",14.71,"[14, 15, 17, 18, 40, 43, 46, 52, 55, 61]"
196A,8,97.06,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.0,[],97.06,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.0,[],97.06,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.0,[]
196e,8,55.17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 26, 27, 28, 29]",55.17,"[2, 3, 4, 5, 7, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",55.17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 26, 27, 28, 29]",55.17,"[2, 3, 4, 5, 7, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",55.17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 26, 27, 28, 29]",55.17,"[2, 3, 4, 5, 7, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
197,8,18.84,"[2, 9, 11, 16, 32, 33, 37, 45, 50, 51, 55, 59, 60]",18.84,"[7, 11, 12, 28, 29, 31, 35, 39, 40, 41, 54, 61, 62]",20.29,"[2, 9, 11, 16, 19, 32, 33, 37, 45, 50, 51, 55, 59, 60]",18.84,"[7, 11, 12, 26, 28, 29, 31, 35, 39, 40, 41, 54, 62]",17.39,"[2, 9, 11, 16, 32, 33, 37, 45, 51, 55, 59, 60]",17.39,"[7, 26, 28, 29, 31, 35, 39, 40, 41, 54, 61, 62]"
198,8,13.64,"[2, 12, 32, 33, 35, 36]",11.36,"[2, 11, 14, 17, 34]",11.36,"[2, 12, 32, 35, 36]",9.09,"[2, 11, 14, 34]",11.36,"[2, 12, 32, 35, 36]",11.36,"[2, 11, 14, 34, 35]"
198A,8,92.31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0,[],92.31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0,[],92.31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0,[]
199,8,11.11,"[2, 16, 26]",0.0,[],7.41,"[2, 26]",0.0,[],14.81,"[2, 4, 16, 26]",0.0,[]
2,8,20.29,"[3, 30, 33, 34, 42, 43, 44, 46, 50, 54, 56, 58, 65, 66]",18.84,"[5, 7, 10, 14, 15, 19, 20, 24, 27, 30, 31, 34, 35]",20.29,"[3, 30, 33, 34, 42, 43, 44, 46, 50, 54, 56, 58, 65, 66]",21.74,"[3, 5, 7, 10, 14, 15, 18, 19, 20, 24, 27, 30, 31, 34, 35]",20.29,"[3, 30, 33, 34, 42, 43, 44, 46, 50, 54, 56, 58, 65, 66]",18.84,"[5, 7, 10, 14, 15, 19, 20, 24, 27, 30, 31, 34, 35]"
20,8,18.18,"[2, 3, 9, 12, 15, 29, 37, 39]",0.0,[],15.91,"[2, 3, 9, 12, 29, 37, 39]",0.0,[],18.18,"[2, 3, 7, 9, 12, 29, 37, 39]",0.0,[]
200,8,20.0,"[3, 5, 8, 16, 32, 34, 39, 42, 43]",0.0,[],20.0,"[3, 5, 8, 16, 32, 34, 39, 42, 43]",0.0,[],20.0,"[3, 5, 8, 16, 32, 34, 39, 42, 43]",0.0,[]
200A,8,78.26,"[2, 3, 4, 5, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.0,[],78.26,"[2, 3, 4, 5, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.0,[],78.26,"[2, 3, 4, 5, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.0,[]
201,8,12.82,"[7, 10, 14, 33, 34]",0.0,[],12.82,"[7, 10, 14, 33, 34]",0.0,[],12.82,"[7, 10, 14, 33, 34]",0.0,[]
20A,8,47.62,"[2, 3, 4, 5, 7, 8, 10, 12, 17, 20]",0.0,[],47.62,"[2, 3, 4, 5, 7, 8, 10, 12, 17, 20]",0.0,[],47.62,"[2, 3, 4, 5, 7, 8, 10, 12, 17, 20]",0.0,[]
21,8,33.33,"[2, 4, 6, 18, 20, 22, 28, 29, 32, 36, 37, 38, 39, 41, 45, 46, 47, 51, 53, 62, 66, 67, 68]",20.29,"[4, 5, 16, 22, 23, 28, 29, 34, 36, 40, 41, 51, 55, 65]",34.78,"[2, 4, 6, 18, 20, 22, 28, 29, 32, 36, 37, 38, 39, 41, 45, 46, 47, 51, 53, 59, 62, 66, 67, 68]",20.29,"[4, 5, 16, 22, 23, 28, 29, 34, 36, 40, 41, 51, 55, 65]",34.78,"[2, 4, 6, 18, 20, 22, 28, 29, 32, 34, 36, 37, 38, 39, 41, 45, 46, 47, 51, 53, 62, 66, 67, 68]",21.74,"[4, 5, 16, 22, 23, 28, 29, 34, 36, 40, 41, 50, 51, 55, 65]"
21A,8,77.78,"[2, 3, 4, 5, 6, 7, 9]",0.0,[],77.78,"[2, 3, 4, 5, 6, 7, 9]",0.0,[],77.78,"[2, 3, 4, 5, 6, 7, 9]",0.0,[]
22,8,14.71,"[2, 3, 21, 33, 34]",17.65,"[4, 7, 9, 14, 15, 24]",17.65,"[2, 3, 21, 32, 33, 34]",17.65,"[4, 7, 11, 14, 15, 24]",14.71,"[2, 3, 21, 33, 34]",17.65,"[4, 7, 11, 14, 15, 24]"
222,8,13.33,"[6, 11, 12, 21]",0.0,[],13.33,"[6, 11, 12, 21]",0.0,[],13.33,"[6, 11, 12, 21]",0.0,[]
222A,8,90.91,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,[],90.91,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,[],90.91,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,[]
222B,8,70.0,"[2, 3, 4, 5, 7, 9, 10]",0.0,[],70.0,"[2, 3, 4, 5, 7, 9, 10]",0.0,[],70.0,"[2, 3, 4, 5, 7, 9, 10]",0.0,[]
225G,8,9.09,[2],0.0,[],9.09,[2],0.0,[],9.09,[2],0.0,[]
225W,8,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
228,8,16.67,"[6, 7, 14, 19, 26]",0.0,[],16.67,"[6, 7, 14, 19, 26]",0.0,[],20.0,"[6, 7, 14, 18, 19, 26]",0.0,[]
229,8,20.83,"[2, 3, 5, 13, 23]",0.0,[],29.17,"[2, 3, 5, 13, 19, 22, 23]",0.0,[],25.0,"[2, 3, 5, 13, 22, 23]",0.0,[]
23,8,13.33,"[5, 18, 26, 28, 31, 37]",0.0,[],15.56,"[5, 18, 19, 26, 28, 31, 37]",0.0,[],15.56,"[5, 18, 19, 26, 28, 31, 37]",0.0,[]
230,8,8.33,[2],0.0,[],8.33,[2],0.0,[],8.33,[2],0.0,[]
231,8,27.78,"[2, 3, 5, 7, 9]",0.0,[],27.78,"[2, 3, 5, 7, 9]",0.0,[],27.78,"[2, 3, 5, 7, 9]",0.0,[]
232,8,0.0,[],0.0,[],5.0,[2],0.0,[],5.0,[2],0.0,[]
235,8,0.0,[],0.0,[],4.0,[2],0.0,[],4.0,[2],0.0,[]
238,8,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
24,8,22.33,"[2, 3, 19, 22, 27, 30, 33, 34, 37, 38, 52, 54, 56, 65, 68, 69, 78, 80, 82, 84, 86, 87, 94]",0.0,[],24.27,"[2, 3, 19, 22, 27, 30, 33, 34, 37, 38, 51, 52, 54, 56, 65, 68, 69, 77, 78, 80, 82, 84, 86, 87, 94]",0.0,[],22.33,"[2, 3, 19, 22, 27, 30, 33, 34, 37, 38, 52, 54, 56, 65, 68, 69, 77, 78, 80, 82, 84, 86, 87]",0.0,[]
240,8,2.63,[30],0.0,[],2.63,[30],0.0,[],2.63,[30],0.0,[]
240A,8,66.67,"[2, 3, 5, 6]",0.0,[],66.67,"[2, 3, 5, 6]",0.0,[],66.67,"[2, 3, 5, 6]",0.0,[]
240M,8,80.0,"[2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]",0.0,[],80.0,"[2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]",0.0,[],80.0,"[2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]",0.0,[]
241,8,16.67,"[2, 4, 16]",0.0,[],11.11,"[2, 16]",0.0,[],16.67,"[2, 4, 16]",0.0,[]
241A,8,0.0,[],0.0,[],11.11,[7],0.0,[],11.11,[7],0.0,[]
242,8,6.67,[2],0.0,[],13.33,"[2, 12]",0.0,[],20.0,"[2, 12, 14]",0.0,[]
243G,8,6.67,[2],0.0,[],6.67,[2],0.0,[],6.67,[2],0.0,[]
243W,8,6.67,[2],0.0,[],6.67,[2],0.0,[],6.67,[2],0.0,[]
246,8,11.11,"[2, 19, 27, 29, 37]",0.0,[],11.11,"[2, 19, 27, 29, 37]",0.0,[],8.89,"[2, 19, 29, 37]",0.0,[]
247,8,5.88,"[9, 43, 51]",0.0,[],5.88,"[9, 43, 51]",0.0,[],5.88,"[9, 43, 51]",0.0,[]
248,8,12.5,"[13, 23, 28, 32]",0.0,[],15.62,"[12, 13, 23, 28, 32]",0.0,[],15.62,"[12, 13, 23, 28, 32]",0.0,[]
248M,8,12.12,"[13, 24, 29, 33]",0.0,[],12.12,"[13, 24, 29, 33]",0.0,[],12.12,"[13, 24, 29, 33]",0.0,[]
249,8,2.63,[2],0.0,[],2.63,[2],0.0,[],2.63,[2],0.0,[]
249A,8,7.14,[2],0.0,[],7.14,[2],0.0,[],7.14,[2],0.0,[]
25,8,9.09,"[3, 32, 35, 36]",13.64,"[6, 10, 11, 18, 29, 33]",9.09,"[3, 32, 35, 36]",13.64,"[6, 10, 11, 18, 29, 33]",9.09,"[3, 32, 35, 36]",13.64,"[6, 10, 11, 18, 29, 33]"
251,8,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
252,8,5.41,"[15, 25]",0.0,[],5.41,"[15, 25]",0.0,[],5.41,"[15, 25]",0.0,[]
253,8,4.17,[2],0.0,[],4.17,[2],0.0,[],4.17,[2],0.0,[]
254,8,4.76,"[2, 20]",0.0,[],4.76,"[2, 20]",0.0,[],4.76,"[2, 20]",0.0,[]
255,8,4.17,[2],0.0,[],4.17,[2],0.0,[],4.17,[2],0.0,[]
257,8,2.56,[2],0.0,[],2.56,[2],0.0,[],2.56,[2],0.0,[]
258,8,9.76,"[2, 11, 19, 34]",0.0,[],9.76,"[2, 11, 19, 34]",0.0,[],9.76,"[2, 11, 19, 34]",0.0,[]
26,8,16.22,"[2, 14, 15, 22, 23, 27]",18.92,"[2, 7, 11, 16, 17, 21, 24]",21.62,"[2, 13, 14, 15, 22, 23, 27, 31]",18.92,"[2, 7, 11, 16, 17, 21, 24]",24.32,"[2, 13, 14, 15, 21, 22, 23, 27, 31]",18.92,"[2, 7, 11, 16, 17, 21, 24]"
261,8,14.29,"[3, 10]",0.0,[],14.29,"[3, 10]",0.0,[],14.29,"[3, 10]",0.0,[]
262,8,16.67,"[2, 3, 18, 20]",0.0,[],20.83,"[2, 3, 12, 18, 20]",0.0,[],16.67,"[2, 3, 18, 20]",0.0,[]
265,8,14.29,"[5, 12, 17, 32, 34, 41]",0.0,[],14.29,"[5, 12, 17, 32, 34, 41]",0.0,[],14.29,"[5, 12, 17, 32, 34, 41]",0.0,[]
268,8,22.92,"[5, 6, 10, 12, 16, 28, 37, 39, 41, 45, 46]",0.0,[],22.92,"[5, 6, 10, 12, 16, 28, 37, 39, 41, 45, 46]",0.0,[],25.0,"[5, 6, 10, 12, 16, 28, 37, 39, 40, 41, 45, 46]",0.0,[]
268A,8,65.38,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 26]",0.0,[],65.38,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 26]",0.0,[],65.38,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 26]",0.0,[]
268B,8,81.82,"[2, 3, 5, 6, 7, 8, 9, 10, 11]",0.0,[],81.82,"[2, 3, 5, 6, 7, 8, 9, 10, 11]",0.0,[],81.82,"[2, 3, 5, 6, 7, 8, 9, 10, 11]",0.0,[]
268C,8,90.91,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,[],90.91,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,[],90.91,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,[]
269,8,9.09,"[13, 17]",0.0,[],18.18,"[7, 13, 17, 19]",0.0,[],18.18,"[11, 13, 17, 19]",0.0,[]
269A,8,50.0,"[3, 5, 6, 7, 10, 11]",0.0,[],50.0,"[3, 5, 6, 7, 10, 11]",0.0,[],58.33,"[2, 3, 5, 6, 7, 10, 11]",0.0,[]
27,8,14.04,"[2, 6, 7, 15, 31, 37, 53, 56]",0.0,[],14.04,"[2, 6, 7, 15, 31, 37, 53, 56]",0.0,[],14.04,"[2, 6, 7, 15, 31, 37, 53, 56]",0.0,[]
272,8,14.29,"[5, 10]",0.0,[],14.29,"[5, 10]",0.0,[],14.29,"[5, 10]",0.0,[]
273,8,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
27A,8,11.11,"[9, 16]",0.0,[],11.11,"[9, 16]",0.0,[],11.11,"[9, 16]",0.0,[]
28,8,27.12,"[3, 16, 20, 24, 25, 33, 34, 36, 38, 40, 42, 43, 45, 47, 50, 57]",20.34,"[2, 15, 19, 22, 27, 30, 33, 34, 38, 42, 46, 54]",28.81,"[3, 16, 20, 24, 25, 33, 34, 36, 38, 40, 42, 43, 45, 47, 50, 56, 57]",20.34,"[2, 15, 19, 22, 27, 30, 33, 34, 38, 42, 46, 54]",27.12,"[3, 16, 17, 20, 24, 25, 33, 34, 36, 38, 40, 42, 43, 45, 47, 57]",20.34,"[2, 15, 19, 22, 27, 30, 33, 34, 38, 42, 46, 54]"
282,8,41.67,"[2, 3, 5, 9, 12]",0.0,[],41.67,"[2, 3, 5, 9, 12]",0.0,[],41.67,"[2, 3, 5, 9, 12]",0.0,[]
284,8,20.0,[2],0.0,[],20.0,[2],0.0,[],20.0,[2],0.0,[]
285,8,10.53,"[3, 16]",0.0,[],10.53,"[3, 16]",0.0,[],10.53,"[3, 16]",0.0,[]
29,8,11.11,"[3, 7, 10, 29, 48, 52]",0.0,[],9.26,"[3, 7, 10, 48, 52]",0.0,[],9.26,"[3, 7, 10, 48, 52]",0.0,[]
291,8,6.9,"[2, 26]",0.0,[],6.9,"[2, 26]",0.0,[],6.9,"[2, 26]",0.0,[]
292,8,14.29,"[6, 10]",0.0,[],14.29,"[6, 10]",0.0,[],14.29,"[6, 10]",0.0,[]
293,8,7.32,"[21, 28, 32]",0.0,[],7.32,"[21, 28, 32]",0.0,[],7.32,"[21, 28, 32]",0.0,[]
296,8,5.0,[2],0.0,[],5.0,[2],0.0,[],5.0,[2],0.0,[]
298,8,10.53,"[12, 15, 22, 25]",0.0,[],13.16,"[12, 15, 17, 22, 25]",0.0,[],13.16,"[12, 15, 17, 22, 25]",0.0,[]
29A,8,88.89,"[2, 3, 4, 5, 6, 7, 8, 9]",0.0,[],88.89,"[2, 3, 4, 5, 6, 7, 8, 9]",0.0,[],88.89,"[2, 3, 4, 5, 6, 7, 8, 9]",0.0,[]
2B,8,54.55,"[2, 3, 4, 9, 14, 15, 17, 18, 19, 20, 21, 27, 28, 29, 30, 31, 32, 33]",0.0,[],57.58,"[2, 3, 4, 9, 14, 15, 16, 17, 18, 19, 20, 21, 27, 28, 29, 30, 31, 32, 33]",0.0,[],57.58,"[2, 3, 4, 9, 14, 15, 16, 17, 18, 19, 20, 21, 27, 28, 29, 30, 31, 32, 33]",0.0,[]
3,8,7.32,"[10, 30, 31]",17.07,"[2, 9, 12, 14, 24, 28, 33]",7.32,"[10, 30, 31]",19.51,"[2, 9, 12, 14, 24, 28, 33, 34]",9.76,"[10, 30, 31, 32]",17.07,"[2, 9, 12, 14, 24, 28, 33]"
30,8,11.54,"[2, 10, 11, 18, 28, 35, 40, 52, 65]",11.54,"[2, 16, 39, 42, 44, 61, 63, 70, 73]",14.1,"[2, 10, 11, 12, 16, 18, 28, 35, 40, 52, 65]",11.54,"[2, 16, 39, 42, 44, 61, 63, 70, 73]",11.54,"[2, 10, 11, 16, 18, 28, 35, 40, 52]",11.54,"[2, 16, 39, 42, 44, 61, 63, 70, 73]"
300,8,6.25,[2],0.0,[],6.25,[2],0.0,[],6.25,[2],0.0,[]
301,8,10.0,"[3, 17]",0.0,[],10.0,"[3, 17]",0.0,[],10.0,"[3, 17]",0.0,[]
302,8,8.7,"[2, 9]",0.0,[],8.7,"[2, 9]",0.0,[],8.7,"[2, 9]",0.0,[]
302A,8,87.5,"[2, 3, 4, 5, 6, 7, 8]",0.0,[],87.5,"[2, 3, 4, 5, 6, 7, 8]",0.0,[],87.5,"[2, 3, 4, 5, 6, 7, 8]",0.0,[]
307,8,2.78,[3],0.0,[],2.78,[3],0.0,[],0.0,[],0.0,[]
307A,8,27.78,"[3, 8, 9, 10, 17]",0.0,[],27.78,"[3, 8, 9, 10, 17]",0.0,[],27.78,"[3, 8, 9, 10, 17]",0.0,[]
307T,8,10.53,"[2, 8]",0.0,[],15.79,"[2, 8, 13]",0.0,[],10.53,"[2, 8]",0.0,[]
30e,8,38.64,"[2, 3, 9, 14, 15, 16, 18, 19, 20, 21, 26, 27, 28, 30, 33, 35, 38]",38.64,"[4, 6, 10, 12, 13, 14, 20, 21, 27, 28, 29, 30, 31, 37, 42, 43, 44]",38.64,"[2, 3, 9, 14, 15, 16, 18, 19, 20, 21, 26, 27, 28, 30, 33, 35, 38]",38.64,"[4, 6, 10, 12, 13, 14, 20, 21, 27, 28, 29, 30, 31, 37, 42, 43, 44]",38.64,"[2, 3, 9, 14, 15, 16, 18, 19, 20, 21, 26, 27, 28, 30, 33, 35, 38]",38.64,"[4, 6, 10, 12, 13, 14, 20, 21, 27, 28, 29, 30, 31, 37, 42, 43, 44]"
31,8,20.83,"[4, 10, 13, 14, 21, 28, 31, 37, 38, 41]",25.0,"[2, 9, 10, 11, 13, 17, 21, 29, 35, 38, 39, 44]",22.92,"[4, 10, 13, 14, 21, 23, 28, 31, 37, 38, 41]",25.0,"[2, 9, 10, 11, 13, 17, 21, 29, 35, 38, 39, 44]",22.92,"[4, 6, 10, 13, 14, 21, 23, 28, 37, 38, 41]",29.17,"[2, 8, 9, 10, 11, 13, 15, 17, 21, 29, 35, 38, 39, 44]"
315,8,8.82,"[4, 9, 21]",0.0,[],11.76,"[4, 9, 21, 27]",0.0,[],8.82,"[4, 9, 21]",0.0,[]
317,8,6.06,"[10, 24]",0.0,[],6.06,"[10, 24]",0.0,[],6.06,"[10, 24]",0.0,[]
31A,8,44.44,"[2, 3, 4, 6]",0.0,[],55.56,"[2, 3, 4, 6, 9]",0.0,[],77.78,"[2, 3, 4, 5, 6, 7, 9]",0.0,[]
32,8,28.33,"[2, 7, 15, 21, 23, 31, 32, 35, 36, 40, 42, 46, 47, 51, 55, 56, 58]",36.67,"[3, 4, 5, 9, 11, 12, 14, 18, 19, 21, 23, 25, 27, 29, 31, 32, 33, 35, 36, 37, 43, 44]",30.0,"[2, 7, 15, 16, 21, 23, 31, 32, 35, 36, 40, 42, 46, 47, 51, 55, 56, 58]",38.33,"[3, 4, 5, 11, 12, 14, 16, 18, 19, 21, 23, 25, 27, 29, 31, 32, 33, 35, 36, 37, 40, 43, 44]",30.0,"[2, 7, 15, 16, 21, 23, 31, 32, 35, 36, 40, 42, 46, 47, 51, 55, 56, 58]",35.0,"[3, 4, 5, 11, 12, 14, 18, 19, 21, 23, 25, 27, 29, 31, 32, 33, 35, 36, 37, 43, 44]"
324,8,11.11,[3],0.0,[],11.11,[3],0.0,[],11.11,[3],0.0,[]
325,8,12.12,"[2, 5, 8, 28]",0.0,[],12.12,"[2, 5, 8, 28]",0.0,[],12.12,"[2, 5, 8, 28]",0.0,[]
329,8,4.17,[21],0.0,[],4.17,[21],0.0,[],4.17,[21],0.0,[]
33,8,21.88,"[2, 16, 25, 27, 29, 36, 37, 39, 41, 43, 47, 49, 52, 62]",26.56,"[10, 15, 19, 21, 23, 25, 26, 27, 29, 32, 36, 37, 38, 40, 41, 42, 54]",20.31,"[2, 16, 25, 27, 29, 36, 37, 39, 41, 43, 47, 49, 52]",26.56,"[10, 15, 19, 21, 23, 25, 26, 27, 29, 32, 36, 37, 38, 40, 41, 42, 54]",20.31,"[2, 16, 25, 27, 29, 36, 37, 39, 41, 43, 47, 49, 52]",26.56,"[10, 15, 19, 21, 23, 25, 26, 27, 29, 32, 36, 37, 38, 40, 41, 42, 54]"
333,8,15.0,"[10, 13, 14]",0.0,[],15.0,"[10, 13, 14]",0.0,[],15.0,"[10, 13, 14]",0.0,[]
334,8,15.38,"[8, 9, 13, 19]",0.0,[],15.38,"[8, 9, 13, 19]",0.0,[],15.38,"[8, 9, 13, 19]",0.0,[]
335,8,6.45,"[8, 24]",0.0,[],6.45,"[8, 24]",0.0,[],6.45,"[8, 24]",0.0,[]
33A,8,78.26,"[3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23]",0.0,[],73.91,"[4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23]",0.0,[],69.57,"[4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23]",0.0,[]
33B,8,88.89,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18]",0.0,[],88.89,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18]",0.0,[],88.89,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18]",0.0,[]
34,8,12.5,"[2, 6, 21, 30, 32, 37, 53]",0.0,[],12.5,"[2, 6, 21, 30, 36, 37, 53]",0.0,[],14.29,"[2, 6, 21, 30, 32, 36, 37, 53]",0.0,[]
34A,8,40.0,"[2, 6, 7, 10, 14, 15]",0.0,[],40.0,"[2, 6, 7, 10, 14, 15]",0.0,[],40.0,"[2, 6, 7, 10, 14, 15]",0.0,[]
34B,8,91.3,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]",0.0,[],91.3,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]",0.0,[],91.3,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]",0.0,[]
35,8,20.51,"[3, 6, 9, 10, 16, 24, 35, 38]",0.0,[],17.95,"[3, 6, 9, 10, 16, 35, 38]",0.0,[],17.95,"[3, 6, 9, 10, 16, 35, 38]",0.0,[]
354,8,16.67,"[2, 10]",0.0,[],16.67,"[2, 10]",0.0,[],16.67,"[2, 10]",0.0,[]
358,8,13.04,"[2, 13, 15]",0.0,[],13.04,"[2, 13, 15]",0.0,[],13.04,"[2, 13, 15]",0.0,[]
359,8,7.89,"[2, 19, 30]",7.89,"[3, 14, 23]",10.53,"[2, 9, 19, 30]",10.53,"[3, 14, 23, 30]",10.53,"[2, 9, 19, 30]",10.53,"[3, 14, 23, 30]"
35M,8,62.5,"[2, 3, 4, 5, 6, 9, 10, 12, 13, 19, 20, 21, 22, 23, 24]",0.0,[],62.5,"[2, 3, 4, 5, 6, 9, 10, 12, 13, 19, 20, 21, 22, 23, 24]",0.0,[],62.5,"[2, 3, 4, 5, 6, 9, 10, 12, 13, 19, 20, 21, 22, 23, 24]",0.0,[]
36,8,14.93,"[2, 4, 8, 15, 19, 29, 42, 50, 53, 60]",0.0,[],14.93,"[2, 4, 8, 15, 19, 29, 42, 50, 53, 60]",0.0,[],16.42,"[2, 4, 8, 10, 15, 19, 29, 42, 50, 53, 60]",0.0,[]
36A,8,88.24,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.0,[],88.24,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.0,[],88.24,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.0,[]
