ServiceNo,Weekday_Percentage_Exceed,Weekend_Percentage_Exceed
173,20.634920634920633,7.936507936507936
3,20.51282051282051,5.128205128205128
198,20.454545454545457,4.545454545454546
74,20.3125,10.9375
980,20.3125,6.25
17A,20.0,20.0
284,20.0,20.0
136,20.0,12.5
950,20.0,12.0
993,20.0,8.0
382W,20.0,6.666666666666667
228,20.0,6.666666666666667
242,20.0,6.666666666666667
178,20.0,5.714285714285714
859,20.0,4.0
73,19.642857142857142,7.142857142857142
39,19.51219512195122,9.75609756097561
76,19.51219512195122,7.317073170731707
118,19.230769230769234,11.538461538461538
59,19.230769230769234,7.6923076923076925
30,19.230769230769234,3.8461538461538463
991,19.230769230769234,3.8461538461538463
871,19.148936170212767,0.0
904,19.047619047619047,9.523809523809524
100,18.96551724137931,10.344827586206897
98,18.84057971014493,4.3478260869565215
156,18.75,9.375
124,18.75,2.083333333333333
199,18.51851851851852,7.4074074074074066
974,18.51851851851852,7.4074074074074066
177,18.51851851851852,7.4074074074074066
141,18.51851851851852,3.7037037037037033
70,18.51851851851852,3.7037037037037033
94,18.51851851851852,3.7037037037037033
168,18.51851851851852,0.0
97,18.421052631578945,2.631578947368421
165,18.333333333333332,5.0
9,18.29268292682927,9.75609756097561
127,18.181818181818183,13.636363636363635
248M,18.181818181818183,12.121212121212121
410W,18.181818181818183,9.090909090909092
57,18.0,4.0
159,17.94871794871795,5.128205128205128
990,17.857142857142858,7.142857142857142
401,17.77777777777778,11.11111111111111
23,17.77777777777778,6.666666666666667
246,17.77777777777778,4.444444444444445
49,17.647058823529413,7.8431372549019605
22,17.647058823529413,5.88235294117647
315,17.647058823529413,5.88235294117647
160,17.5,6.25
77,17.391304347826086,10.869565217391305
15,17.391304347826086,1.4492753623188406
161,17.391304347826086,0.0
70M,17.142857142857142,4.761904761904762
812,17.142857142857142,2.857142857142857
187,17.073170731707318,4.878048780487805
101,17.02127659574468,6.382978723404255
81,16.666666666666664,11.11111111111111
241,16.666666666666664,11.11111111111111
354,16.666666666666664,8.333333333333332
976,16.666666666666664,8.333333333333332
265,16.666666666666664,7.142857142857142
222,16.666666666666664,3.3333333333333335
803,16.666666666666664,0.0
882,16.666666666666664,0.0
36,16.417910447761194,4.477611940298507
92,16.216216216216218,8.108108108108109
143,16.216216216216218,8.108108108108109
90,16.216216216216218,2.7027027027027026
88,15.686274509803921,3.9215686274509802
857,15.625,3.125
4,15.384615384615385,3.8461538461538463
334,15.384615384615385,3.8461538461538463
192,15.151515151515152,15.151515151515152
913,15.151515151515152,12.121212121212121
87,15.151515151515152,9.090909090909092
965,15.09433962264151,5.660377358490567
45,14.893617021276595,8.51063829787234
858,14.666666666666666,5.333333333333334
180,14.583333333333334,2.083333333333333
34,14.285714285714285,8.928571428571429
261,14.285714285714285,7.142857142857142
272,14.285714285714285,7.142857142857142
142,14.285714285714285,4.761904761904762
801,14.285714285714285,4.761904761904762
190,14.285714285714285,2.857142857142857
922,14.285714285714285,0.0
143M,14.285714285714285,0.0
947,14.285714285714285,0.0
27,14.035087719298245,3.508771929824561
188,14.035087719298245,1.7543859649122806
131,14.000000000000002,6.0
193,13.953488372093023,6.976744186046512
973,13.793103448275861,3.4482758620689653
163,13.725490196078432,1.9607843137254901
42,13.636363636363635,9.090909090909092
66,13.636363636363635,0.0
10,13.513513513513514,2.7027027027027026
975B,13.333333333333334,10.0
176,13.333333333333334,3.3333333333333335
41,13.157894736842104,5.263157894736842
298,13.157894736842104,2.631578947368421
358,13.043478260869565,8.695652173913043
403,13.043478260869565,0.0
29,12.962962962962962,7.4074074074074066
17,12.903225806451612,6.451612903225806
335,12.903225806451612,0.0
201,12.82051282051282,10.256410256410255
913T,12.5,12.5
179A,12.5,8.333333333333332
925M,12.5,7.5
300,12.5,6.25
7,12.5,3.571428571428571
86,12.5,3.125
103,12.5,2.5
325,12.121212121212121,3.0303030303030303
138,11.864406779661017,3.389830508474576
247,11.76470588235294,3.9215686274509802
805,11.76470588235294,0.0
89,11.578947368421053,4.2105263157894735
37,11.538461538461538,3.8461538461538463
324,11.11111111111111,11.11111111111111
964,11.11111111111111,7.4074074074074066
53,10.989010989010989,6.593406593406594
962,10.869565217391305,0.0
