ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
925M,10,15.0,"[9, 10, 14, 27, 31, 32]",0.0,[],15.0,"[9, 10, 14, 27, 31, 32]",0.0,[],15.0,"[9, 10, 14, 27, 31, 32]",0.0,[]
927,10,33.33,"[4, 8, 12, 13, 14, 15, 16, 23, 24, 25, 30]",0.0,[],33.33,"[4, 8, 12, 13, 14, 15, 16, 23, 24, 25, 30]",0.0,[],33.33,"[4, 8, 12, 13, 14, 15, 16, 23, 24, 25, 30]",0.0,[]
92A,10,20.0,"[5, 7]",0.0,[],20.0,"[5, 7]",0.0,[],20.0,"[5, 7]",0.0,[]
93,10,3.64,"[24, 45]",5.56,"[30, 29, 16]",3.64,"[24, 45]",5.56,"[30, 29, 16]",5.45,"[24, 27, 45]",5.56,"[30, 29, 16]"
94,10,7.69,"[9, 14]",0.0,[],7.69,"[9, 14]",0.0,[],3.85,[9],0.0,[]
941,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
945,10,0.0,[],0.0,[],,,,,,,,
947,10,7.14,[12],0.0,[],7.14,[12],0.0,[],7.14,[12],0.0,[]
94A,10,14.29,"[9, 14]",0.0,[],14.29,"[9, 14]",0.0,[],7.14,[9],0.0,[]
95,10,10.0,"[8, 23, 29]",0.0,[],6.67,"[8, 23]",0.0,[],6.67,"[8, 23]",0.0,[]
950,10,5.26,[12],0.0,[],5.26,[12],0.0,[],5.26,[12],0.0,[]
95B,10,8.33,[8],0.0,[],8.33,[8],0.0,[],8.33,[8],0.0,[]
96,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
960,10,6.52,"[9, 10, 16]",10.87,"[40, 39, 38, 34, 30]",6.52,"[9, 10, 16]",10.87,"[40, 39, 38, 34, 30]",6.52,"[9, 10, 16]",10.87,"[40, 39, 34, 30, 2]"
960e,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],4.35,[2]
961,10,3.53,"[9, 10, 16]",5.49,"[86, 85, 84, 80, 76]",3.53,"[9, 10, 16]",6.59,"[86, 85, 84, 80, 76, 67]",3.53,"[9, 10, 16]",4.4,"[86, 85, 80, 76]"
961M,10,3.37,"[9, 10, 16]",5.26,"[87, 86, 85, 81, 77]",3.37,"[9, 10, 16]",6.32,"[87, 86, 85, 81, 77, 68]",4.49,"[9, 10, 16, 76]",5.26,"[87, 86, 81, 77, 16]"
962,10,0.0,[],0.0,[],2.17,[22],0.0,[],0.0,[],0.0,[]
962B,10,0.0,[],0.0,[],8.33,[5],0.0,[],0.0,[],0.0,[]
963,10,0.0,[],0.0,[],0.0,[],2.04,[33],0.0,[],0.0,[]
963e,10,,,,,,,,,,,,
964,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
965,10,5.66,"[20, 22, 32]",0.0,[],5.66,"[20, 22, 32]",0.0,[],5.66,"[20, 22, 32]",0.0,[]
965T,10,7.41,"[20, 22]",0.0,[],7.41,"[20, 22]",0.0,[],7.41,"[20, 22]",0.0,[]
966,10,,,,,0.0,[],0.0,[],0.0,[],0.0,[]
966A,10,,,,,0.0,[],0.0,[],0.0,[],0.0,[]
969,10,6.9,"[20, 22]",3.45,[8],6.9,"[20, 22]",3.45,[8],6.9,"[20, 22]",3.45,[8]
969A,10,6.67,[8],0.0,[],6.67,[8],0.0,[],6.67,[8],0.0,[]
96A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
96B,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
97,10,2.63,[26],2.44,[16],2.63,[26],2.44,[16],2.63,[26],7.32,"[16, 15, 2]"
970,10,7.58,"[3, 31, 35, 36, 37]",3.08,"[64, 31]",7.58,"[3, 31, 35, 36, 37]",4.62,"[64, 56, 31]",7.58,"[3, 31, 35, 36, 37]",3.08,"[64, 31]"
972,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
972M,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
973,10,6.9,"[10, 19]",0.0,[],6.9,"[10, 19]",0.0,[],6.9,"[10, 19]",0.0,[]
974,10,4.0,"[37, 52]",0.0,[],2.0,[37],0.0,[],0.0,[],0.0,[]
974A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
975,10,48.91,"[15, 16, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 35, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 59, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 78]",0.0,[],43.48,"[16, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 35, 37, 38, 39, 40, 43, 45, 46, 47, 48, 49, 50, 51, 54, 55, 56, 57, 59, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 78]",0.0,[],43.48,"[16, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 35, 37, 38, 39, 40, 43, 44, 45, 46, 47, 48, 49, 51, 54, 55, 56, 57, 59, 63, 64, 66, 67, 68, 69, 71, 72, 73, 78]",0.0,[]
975A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
975B,10,54.55,"[8, 9, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 28, 30, 31, 32, 33]",0.0,[],48.48,"[9, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 28, 30, 31, 32, 33]",0.0,[],51.52,"[9, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 28, 30, 31, 32, 33]",0.0,[]
975C,10,51.06,"[15, 16, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 35, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47]",0.0,[],42.55,"[16, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 35, 37, 38, 39, 40, 43, 45, 46, 47]",0.0,[],46.81,"[16, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 35, 37, 38, 39, 40, 43, 44, 45, 46, 47]",0.0,[]
976,10,8.33,"[18, 19]",4.0,[6],4.17,[19],4.0,[6],8.33,"[18, 19]",4.0,[6]
979,10,2.78,[6],0.0,[],2.78,[6],0.0,[],2.78,[6],0.0,[]
97e,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],3.7,[2]
98,10,7.25,"[32, 33, 34, 36, 38]",0.0,[],8.7,"[25, 32, 33, 34, 36, 38]",0.0,[],8.7,"[25, 32, 33, 34, 36, 38]",0.0,[]
980,10,7.81,"[16, 23, 24, 25, 43]",4.92,"[39, 38, 37]",6.25,"[16, 23, 24, 25]",4.92,"[39, 38, 37]",6.25,"[16, 23, 24, 25]",6.56,"[41, 39, 38, 37]"
981,10,4.76,[6],0.0,[],4.76,[6],0.0,[],4.76,[6],0.0,[]
982E,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
985,10,2.5,[16],0.0,[],2.5,[16],0.0,[],2.5,[16],0.0,[]
98B,10,11.11,"[24, 25, 26]",0.0,[],14.81,"[17, 24, 25, 26]",0.0,[],14.81,"[17, 24, 25, 26]",0.0,[]
98M,10,,,,,,,,,,,,
99,10,2.17,[44],0.0,[],0.0,[],4.44,"[25, 18]",0.0,[],2.22,[18]
990,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
991,10,3.85,[16],0.0,[],3.85,[16],0.0,[],3.85,[16],0.0,[]
991C,10,,,,,0.0,[],0.0,[],0.0,[],0.0,[]
992,10,0.0,[],0.0,[],7.14,[11],6.67,[4],7.14,[11],6.67,[4]
993,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
9A,10,,,,,,,,,,,,
9B,10,17.24,"[15, 16, 21, 22, 23]",0.0,[],20.69,"[15, 16, 21, 22, 23, 24]",0.0,[],13.79,"[16, 21, 22, 23]",0.0,[]
