ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
170X,10,50.0,"[2, 3, 4, 8]",25.0,"[5, 1]",50.0,"[2, 3, 4, 8]",25.0,"[5, 1]",37.5,"[2, 4, 8]",25.0,"[5, 1]"
171,10,23.08,"[6, 10, 11, 12, 13, 27, 28, 29, 31]",0.0,[],23.08,"[6, 10, 11, 12, 13, 27, 28, 29, 31]",0.0,[],28.21,"[6, 8, 10, 11, 12, 13, 27, 28, 29, 31, 32]",0.0,[]
172,10,28.12,"[11, 12, 17, 18, 19, 22, 24, 25, 26]",22.58,"[22, 17, 16, 15, 12, 10, 9]",21.88,"[12, 17, 18, 19, 22, 24, 25]",22.58,"[22, 17, 16, 15, 12, 10, 9]",21.88,"[12, 17, 18, 19, 22, 24, 25]",22.58,"[22, 17, 16, 15, 12, 10, 9]"
173,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
173A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
174,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
175,10,7.27,"[8, 9, 10, 13]",9.68,"[56, 55, 54, 51, 50, 5]",7.27,"[8, 9, 10, 13]",8.06,"[56, 55, 51, 50, 5]",5.45,"[8, 9, 13]",8.06,"[56, 55, 51, 50, 5]"
176,10,6.78,"[41, 42, 43, 46]",8.33,"[19, 18, 17, 14, 13]",6.78,"[41, 42, 43, 46]",8.33,"[53, 19, 18, 14, 13]",5.08,"[41, 42, 46]",6.67,"[19, 18, 14, 13]"
177,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
178,10,14.29,"[8, 10, 15, 16, 22, 39, 52, 57, 60, 65]",12.5,"[58, 57, 56, 52, 48, 34, 21, 15, 7]",14.29,"[8, 10, 15, 16, 22, 39, 52, 57, 60, 65]",13.89,"[58, 57, 56, 52, 48, 39, 34, 21, 15, 7]",12.86,"[8, 10, 15, 16, 22, 39, 57, 60, 65]",11.11,"[58, 57, 52, 48, 34, 21, 15, 7]"
178A,10,15.38,"[8, 10]",0.0,[],15.38,"[8, 10]",0.0,[],15.38,"[8, 10]",0.0,[]
179,10,,,,,,,,,,,,
179A,10,,,,,,,,,,,,
18,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
180,10,4.26,"[13, 18]",0.0,[],2.13,[18],0.0,[],2.13,[13],0.0,[]
180A,10,8.0,"[13, 18]",0.0,[],4.0,[18],0.0,[],4.0,[13],0.0,[]
181M,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
182,10,65.52,"[2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 22, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 40, 44, 45, 47, 48, 50, 53, 55, 56, 57, 58, 60]",0.0,[],62.07,"[2, 4, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 22, 23, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 40, 45, 47, 48, 50, 53, 55, 56, 57, 58, 60]",0.0,[],67.24,"[2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 22, 23, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 40, 41, 45, 47, 48, 50, 53, 55, 56, 57, 58, 60]",0.0,[]
182M,10,66.67,"[2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 21, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 43, 44, 46, 47, 49, 52, 54, 55, 56, 57, 59]",0.0,[],63.16,"[2, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 21, 22, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 39, 44, 46, 47, 49, 52, 54, 55, 56, 57, 59]",0.0,[],68.42,"[2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 21, 22, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 40, 44, 46, 47, 49, 52, 54, 55, 56, 57, 59]",0.0,[]
183,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
183B,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
184,10,0.0,[],0.0,[],1.75,[46],0.0,[],0.0,[],0.0,[]
185,10,2.7,[1],2.7,[38],2.7,[1],2.7,[38],2.7,[1],2.7,[38]
186,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],2.17,[12]
187,10,2.5,[21],0.0,[],2.5,[21],0.0,[],2.5,[21],0.0,[]
